Running for FP6
Threshold for Lidar outliers = 0.1m.
Img Id, Detector, Descriptor, Matcher, Selector, TTCCamera, TTCLidar
Image 12,SHITOMASI,BRISK,MAT_BF,SEL_KNN,10.2547,10.1
Image 13,SHITOMASI,BRISK,MAT_BF,SEL_KNN,12.0273,9.22307
Image 14,SHITOMASI,BRISK,MAT_BF,SEL_KNN,10.5962,10.9678
Image 15,SHITOMASI,BRISK,MAT_BF,SEL_KNN,9.78926,8.09422
Image 16,SHITOMASI,BRISK,MAT_BF,SEL_KNN,8.21615,8.81392
Image 17,SHITOMASI,BRISK,MAT_BF,SEL_KNN,11.1503,10.2926
Image 18,SHITOMASI,BRISK,MAT_BF,SEL_KNN,8.04779,8.30978
Image 1,SHITOMASI,FREAK,MAT_BF,SEL_KNN,12.7951,12.5604
Image 2,SHITOMASI,FREAK,MAT_BF,SEL_KNN,9.02672,12.6628
Image 3,SHITOMASI,FREAK,MAT_BF,SEL_KNN,8.4654,16.2563
Image 4,SHITOMASI,FREAK,MAT_BF,SEL_KNN,10.2884,13.834
Image 5,SHITOMASI,FREAK,MAT_BF,SEL_KNN,11.8323,13.0305
Image 6,SHITOMASI,FREAK,MAT_BF,SEL_KNN,12.0542,13.3877
Image 7,SHITOMASI,FREAK,MAT_BF,SEL_KNN,12.1538,13.2877
Image 8,SHITOMASI,FREAK,MAT_BF,SEL_KNN,11.5021,13.671
Image 9,SHITOMASI,FREAK,MAT_BF,SEL_KNN,11.2876,14.6431
Image 10,SHITOMASI,FREAK,MAT_BF,SEL_KNN,12.8357,9.85736
Image 11,SHITOMASI,FREAK,MAT_BF,SEL_KNN,11.0976,14.9877
Image 12,SHITOMASI,FREAK,MAT_BF,SEL_KNN,11.2102,10.1
Image 13,SHITOMASI,FREAK,MAT_BF,SEL_KNN,12.5447,9.22307
Image 14,SHITOMASI,FREAK,MAT_BF,SEL_KNN,9.53045,10.9678
Image 15,SHITOMASI,FREAK,MAT_BF,SEL_KNN,8.7619,8.09422
Image 16,SHITOMASI,FREAK,MAT_BF,SEL_KNN,9.70502,8.81392
Image 17,SHITOMASI,FREAK,MAT_BF,SEL_KNN,9.93975,10.2926
Image 18,SHITOMASI,FREAK,MAT_BF,SEL_KNN,8.17889,8.30978
Image 1,SHITOMASI,ORB,MAT_BF,SEL_KNN,13.6067,12.5604
Image 2,SHITOMASI,ORB,MAT_BF,SEL_KNN,11.1896,12.6628
Image 3,SHITOMASI,ORB,MAT_BF,SEL_KNN,10.8726,16.2563
Image 4,SHITOMASI,ORB,MAT_BF,SEL_KNN,12.6318,13.834
Image 5,SHITOMASI,ORB,MAT_BF,SEL_KNN,12.3511,13.0305
Image 6,SHITOMASI,ORB,MAT_BF,SEL_KNN,12.28,13.3877
Image 7,SHITOMASI,ORB,MAT_BF,SEL_KNN,12.152,13.2877
Image 8,SHITOMASI,ORB,MAT_BF,SEL_KNN,12.8859,13.671
Image 9,SHITOMASI,ORB,MAT_BF,SEL_KNN,11.4761,14.6431
Image 10,SHITOMASI,ORB,MAT_BF,SEL_KNN,13.8393,9.85736
Image 11,SHITOMASI,ORB,MAT_BF,SEL_KNN,11.7837,14.9877
Image 12,SHITOMASI,ORB,MAT_BF,SEL_KNN,11.2085,10.1
Image 13,SHITOMASI,ORB,MAT_BF,SEL_KNN,12.2464,9.22307
Image 14,SHITOMASI,ORB,MAT_BF,SEL_KNN,9.56195,10.9678
Image 15,SHITOMASI,ORB,MAT_BF,SEL_KNN,9.69974,8.09422
Image 16,SHITOMASI,ORB,MAT_BF,SEL_KNN,8.22373,8.81392
Image 17,SHITOMASI,ORB,MAT_BF,SEL_KNN,10.2981,10.2926
Image 18,SHITOMASI,ORB,MAT_BF,SEL_KNN,8.63371,8.30978
Image 1,HARRIS,BRIEF,MAT_BF,SEL_KNN,-26.8061,12.5604
Image 2,HARRIS,BRIEF,MAT_BF,SEL_KNN,10.7161,12.6628
Image 3,HARRIS,BRIEF,MAT_BF,SEL_KNN,10.4931,16.2563
Image 4,HARRIS,BRIEF,MAT_BF,SEL_KNN,40.2406,13.834
Image 5,HARRIS,BRIEF,MAT_BF,SEL_KNN,64.1548,13.0305
Image 6,HARRIS,BRIEF,MAT_BF,SEL_KNN,58.4398,13.3877
Image 7,HARRIS,BRIEF,MAT_BF,SEL_KNN,11.1224,13.2877
Image 8,HARRIS,BRIEF,MAT_BF,SEL_KNN,-inf,13.671
Image 9,HARRIS,BRIEF,MAT_BF,SEL_KNN,13.0459,14.6431
Image 10,HARRIS,BRIEF,MAT_BF,SEL_KNN,nan,9.85736
Image 11,HARRIS,BRIEF,MAT_BF,SEL_KNN,nan,14.9877
Image 12,HARRIS,BRIEF,MAT_BF,SEL_KNN,24.4588,10.1
Image 13,HARRIS,BRIEF,MAT_BF,SEL_KNN,nan,9.22307
Image 14,HARRIS,BRIEF,MAT_BF,SEL_KNN,nan,10.9678
Image 15,HARRIS,BRIEF,MAT_BF,SEL_KNN,6.2196,8.09422
Image 16,HARRIS,BRIEF,MAT_BF,SEL_KNN,-244.95,8.81392
Image 17,HARRIS,BRIEF,MAT_BF,SEL_KNN,11.0839,10.2926
Image 18,HARRIS,BRIEF,MAT_BF,SEL_KNN,nan,8.30978
Image 1,HARRIS,SIFT,MAT_BF,SEL_KNN,-26.8061,12.5604
Image 2,HARRIS,SIFT,MAT_BF,SEL_KNN,10.7161,12.6628
Image 3,HARRIS,SIFT,MAT_BF,SEL_KNN,10.4931,16.2563
Image 4,HARRIS,SIFT,MAT_BF,SEL_KNN,-inf,13.834
Image 5,HARRIS,SIFT,MAT_BF,SEL_KNN,64.1548,13.0305
Image 6,HARRIS,SIFT,MAT_BF,SEL_KNN,58.4398,13.3877
Image 7,HARRIS,SIFT,MAT_BF,SEL_KNN,13.2576,13.2877
Image 8,HARRIS,SIFT,MAT_BF,SEL_KNN,-inf,13.671
Image 9,HARRIS,SIFT,MAT_BF,SEL_KNN,14.8982,14.6431
Image 10,HARRIS,SIFT,MAT_BF,SEL_KNN,7.97418,9.85736
Image 11,HARRIS,SIFT,MAT_BF,SEL_KNN,nan,14.9877
Image 12,HARRIS,SIFT,MAT_BF,SEL_KNN,24.4588,10.1
Image 13,HARRIS,SIFT,MAT_BF,SEL_KNN,nan,9.22307
Image 14,HARRIS,SIFT,MAT_BF,SEL_KNN,nan,10.9678
Image 15,HARRIS,SIFT,MAT_BF,SEL_KNN,6.2196,8.09422
Image 16,HARRIS,SIFT,MAT_BF,SEL_KNN,-244.95,8.81392
Image 17,HARRIS,SIFT,MAT_BF,SEL_KNN,11.0839,10.2926
Image 18,HARRIS,SIFT,MAT_BF,SEL_KNN,nan,8.30978
Image 1,HARRIS,BRISK,MAT_BF,SEL_KNN,0.0226467,12.5604
Image 2,HARRIS,BRISK,MAT_BF,SEL_KNN,10.7161,12.6628
Image 3,HARRIS,BRISK,MAT_BF,SEL_KNN,8.92919,16.2563
Image 4,HARRIS,BRISK,MAT_BF,SEL_KNN,0.0719067,13.834
Image 5,HARRIS,BRISK,MAT_BF,SEL_KNN,21.4307,13.0305
Image 6,HARRIS,BRISK,MAT_BF,SEL_KNN,58.4398,13.3877
Image 7,HARRIS,BRISK,MAT_BF,SEL_KNN,11.1224,13.2877
Image 8,HARRIS,BRISK,MAT_BF,SEL_KNN,-inf,13.671
Image 9,HARRIS,BRISK,MAT_BF,SEL_KNN,11.1224,14.6431
Image 10,HARRIS,BRISK,MAT_BF,SEL_KNN,nan,9.85736
Image 11,HARRIS,BRISK,MAT_BF,SEL_KNN,nan,14.9877
Image 12,HARRIS,BRISK,MAT_BF,SEL_KNN,24.4588,10.1
Image 13,HARRIS,BRISK,MAT_BF,SEL_KNN,nan,9.22307
Image 14,HARRIS,BRISK,MAT_BF,SEL_KNN,nan,10.9678
Image 15,HARRIS,BRISK,MAT_BF,SEL_KNN,6.2196,8.09422
Image 16,HARRIS,BRISK,MAT_BF,SEL_KNN,-244.95,8.81392
Image 17,HARRIS,BRISK,MAT_BF,SEL_KNN,11.0839,10.2926
Image 18,HARRIS,BRISK,MAT_BF,SEL_KNN,nan,8.30978
Image 1,HARRIS,FREAK,MAT_BF,SEL_KNN,-26.8061,12.5604
Image 2,HARRIS,FREAK,MAT_BF,SEL_KNN,10.7161,12.6628
Image 3,HARRIS,FREAK,MAT_BF,SEL_KNN,8.92919,16.2563
Image 4,HARRIS,FREAK,MAT_BF,SEL_KNN,25.5028,13.834
Image 5,HARRIS,FREAK,MAT_BF,SEL_KNN,21.4307,13.0305
Image 6,HARRIS,FREAK,MAT_BF,SEL_KNN,58.4398,13.3877
Image 7,HARRIS,FREAK,MAT_BF,SEL_KNN,11.1224,13.2877
Image 8,HARRIS,FREAK,MAT_BF,SEL_KNN,-inf,13.671
Image 9,HARRIS,FREAK,MAT_BF,SEL_KNN,11.1224,14.6431
Image 10,HARRIS,FREAK,MAT_BF,SEL_KNN,nan,9.85736
Image 11,HARRIS,FREAK,MAT_BF,SEL_KNN,nan,14.9877
Image 12,HARRIS,FREAK,MAT_BF,SEL_KNN,24.4588,10.1
Image 13,HARRIS,FREAK,MAT_BF,SEL_KNN,nan,9.22307
Image 14,HARRIS,FREAK,MAT_BF,SEL_KNN,0.0193006,10.9678
Image 15,HARRIS,FREAK,MAT_BF,SEL_KNN,6.2196,8.09422
Image 16,HARRIS,FREAK,MAT_BF,SEL_KNN,-inf,8.81392
Image 17,HARRIS,FREAK,MAT_BF,SEL_KNN,11.0839,10.2926
Image 18,HARRIS,FREAK,MAT_BF,SEL_KNN,nan,8.30978
Image 1,HARRIS,ORB,MAT_BF,SEL_KNN,-26.8061,12.5604
Image 2,HARRIS,ORB,MAT_BF,SEL_KNN,10.7161,12.6628
Image 3,HARRIS,ORB,MAT_BF,SEL_KNN,10.4931,16.2563
Image 4,HARRIS,ORB,MAT_BF,SEL_KNN,-inf,13.834
Image 5,HARRIS,ORB,MAT_BF,SEL_KNN,64.1548,13.0305
Image 6,HARRIS,ORB,MAT_BF,SEL_KNN,58.4398,13.3877
Image 7,HARRIS,ORB,MAT_BF,SEL_KNN,11.1224,13.2877
Image 8,HARRIS,ORB,MAT_BF,SEL_KNN,-inf,13.671
Image 9,HARRIS,ORB,MAT_BF,SEL_KNN,13.0459,14.6431
Image 10,HARRIS,ORB,MAT_BF,SEL_KNN,nan,9.85736
Image 11,HARRIS,ORB,MAT_BF,SEL_KNN,nan,14.9877
Image 12,HARRIS,ORB,MAT_BF,SEL_KNN,24.4588,10.1
Image 13,HARRIS,ORB,MAT_BF,SEL_KNN,nan,9.22307
Image 14,HARRIS,ORB,MAT_BF,SEL_KNN,nan,10.9678
Image 15,HARRIS,ORB,MAT_BF,SEL_KNN,6.2196,8.09422
Image 16,HARRIS,ORB,MAT_BF,SEL_KNN,-244.95,8.81392
Image 17,HARRIS,ORB,MAT_BF,SEL_KNN,11.0839,10.2926
